Unnamed: 0,mahalanobis_distance,Status
row_83,1.372637617669336,Accepted
row_84,1.4284916402571215,Accepted
row_85,0.213480600439241,Accepted
row_86,2.2689090613077703,Accepted
row_87,0.2962455462526178,Accepted
row_88,1.8394351841030232,Accepted
row_89,1.7455254396877444,Accepted
row_90,4.126102547960594,Accepted
row_91,0.2882842373619615,Accepted
row_92,3.025107451565387,Accepted
row_93,1.206210116612788,Accepted
row_94,15.088972811883265,Rejected
row_95,0.427785061492263,Accepted
row_96,2.56610599068643,Accepted
row_97,1.959000351069888,Accepted
row_98,2.6936881358664606,Accepted
row_99,1.7380194036467451,Accepted
row_100,4.0654498202941465,Accepted
row_101,0.2485728084477872,Accepted
row_102,0.6467761962516066,Accepted
row_103,1.2789439025865867,Accepted
row_104,0.2606776453012776,Accepted
row_105,1.1144670044763727,Accepted
row_106,1.206642015469158,Accepted
row_107,1.7046608839256818,Accepted
row_108,1.6922746570596183,Accepted
row_109,1.2340926407823325,Accepted
row_110,11.345624855049154,Rejected
row_111,1.3706894308021362,Accepted
row_112,1.6170325802811816,Accepted
row_113,1.1201345182779634,Accepted
row_114,1.1652191342800688,Accepted
row_115,10.36215403923743,Accepted
row_116,1.0099934568920323,Accepted
row_117,2.3430499071443998,Accepted
row_118,2.3211575065117547,Accepted
row_119,9.396991045275328,Accepted
row_120,0.6121912629762865,Accepted
row_121,1.5033987177539772,Accepted
row_122,2.0846468308943558,Accepted
row_123,0.2895487579066199,Accepted
row_124,1.032432962026974,Accepted
row_125,0.5716676529937573,Accepted
row_126,10.346902525517642,Accepted
row_127,2.157264605259118,Accepted
row_128,2.1291315835458686,Accepted
row_129,3.3504885989604336,Accepted
row_130,0.3187876623962036,Accepted
row_131,0.8029842532482377,Accepted
row_132,1.665928669751033,Accepted
row_133,1.371068316504098,Accepted
row_134,12.729023199085436,Rejected
row_135,1.482713010019982,Accepted
row_136,9.670374017511053,Accepted
row_137,1.8720115271176656,Accepted
row_138,1.0028756705252522,Accepted
row_139,1.415933225279444,Accepted
row_140,2.448693467491007,Accepted
row_141,1.0515719107682675,Accepted
row_142,0.5532075384301548,Accepted
row_143,1.6996322351062978,Accepted
row_144,1.82960913930486,Accepted
row_145,0.8981846715767842,Accepted
row_146,1.8663478536769569,Accepted
row_147,1.8460382754950084,Accepted
row_148,0.381798702181961,Accepted
row_149,0.9827285074774956,Accepted
row_150,1.44342114228383,Accepted
row_151,1.5376995162190106,Accepted
row_152,1.596806603407488,Accepted
row_153,1.4934478155663973,Accepted
row_154,1.0662738357157002,Accepted
row_155,1.6705732925882455,Accepted
row_156,2.451518911772287,Accepted
row_157,1.1884783965923755,Accepted
row_158,1.8573152724110575,Accepted
row_159,0.4979240211500535,Accepted
row_160,2.352637645080942,Accepted
row_161,0.3674639087931879,Accepted
row_162,1.5194381667268373,Accepted
row_163,0.4940058362353162,Accepted
row_164,1.6224560106146446,Accepted
row_165,0.0783867659482215,Accepted
row_166,1.9631419030997963,Accepted
